# Slime Simulator State Dump
# Width: 640, Height: 480
# Agents: 1000
# LFSR State: 0x1E1AF7AB

# Agent states (x, y, angle) in fixed-point
00136000 000F0000 17A
00140000 000E6000 358
00140000 000E6000 315
00136000 000E6000 28E
00136000 000F0000 181
00140000 000E6000 366
00140000 000E6000 331
0013A000 000E6000 2C7
00136000 000E8000 1F3
00140000 000F0000 04B
00137000 000F0000 0FB
00136000 000E6000 25A
00136000 000F0000 118
00136000 000E6000 294
00136000 000F0000 18D
00140000 000E6000 37E
00140000 000E6000 361
00140000 000E6000 327
00138000 000E6000 2B2
00136000 000EC000 1C9
00141000 000EF000 3F6
00140000 000F0000 051
00136000 000F0000 106
00136000 000E6000 271
00136000 000F0000 147
0013E000 000E6000 2F2
00136000 000E6000 249
00137000 000F1000 0F7
00136000 000E6000 252
00136000 000F0000 108
00136000 000E6000 275
00136000 000F0000 14E
00140000 000E6000 301
00136000 000E6000 266
00136000 000F0000 130
0013A000 000E6000 2C4
00136000 000E8000 1ED
00140000 000F0000 03F
0013A000 000F1000 0E2
00136000 000E6000 228
0013E000 000F0000 0B4
00136000 000EC000 1CD
00141000 000EF000 3FE
00140000 000F0000 061
00136000 000F0000 127
00138000 000E6000 2B2
00136000 000EC000 1C9
00141000 000EF000 3F7
00140000 000F0000 052
00136000 000F0000 109
00136000 000E6000 276
00136000 000F0000 151
00140000 000E6000 307
00136000 000E6000 272
00136000 000F0000 148
0013E000 000E6000 2F5
00136000 000E6000 24E
00137000 000F1000 100
00136000 000E6000 265
00136000 000F0000 12E
00139000 000E6000 2C1
00136000 000E9000 1E6
00140000 000F0000 030
0013D000 000F1000 0C4
00136000 000E8000 1ED
00140000 000F0000 03F
0013A000 000F1000 0E2
00136000 000E6000 229
0013E000 000F0000 0B7
00136000 000EB000 1D3
00140000 000F0000 00B
00140000 000F0000 07A
00136000 000F0000 159
00140000 000E6000 316
00136000 000E6000 291
00136000 000F0000 186
00140000 000E6000 370
00140000 000E6000 345
0013E000 000E6000 2EE
00136000 000E6000 240
00139000 000F1000 0E4
00136000 000E6000 22C
0013D000 000F0000 0BD
00136000 000EA000 1DE
00140000 000F0000 021
00140000 000F1000 0A6
00136000 000EE000 1B1
00141000 000EA000 3C6
00140000 000EE000 3F1
00140000 000F0000 046
00138000 000F0000 0F1
00136000 000E6000 246
00138000 000F0000 0F1
00136000 000E6000 246
00138000 000F0000 0F0
00136000 000E6000 244
00139000 000F1000 0EC
00136000 000E6000 23C
0013A000 000F0000 0DD
00136000 000E6000 21E
00140000 000F0000 0A0
00136000 000F0000 1A5
00141000 000E7000 3AE
00140000 000E9000 3C0
00140000 000ED000 3E5
00140000 000F0000 02E
0013D000 000F0000 0C1
00136000 000E9000 1E7
00140000 000F0000 032
0013C000 000F0000 0C8
00136000 000E8000 1F4
00140000 000F0000 04C
00137000 000F0000 0FD
00136000 000E6000 25E
00136000 000F0000 121
00137000 000E6000 2A7
00136000 000EE000 1B2
00140000 000EA000 3C8
00141000 000EE000 3F4
00140000 000F0000 04D
00137000 000F1000 0FE
00136000 000E6000 261
00136000 000F0000 126
00138000 000E6000 2B0
00136000 000EC000 1C5
00141000 000EE000 3EE
00140000 000F0000 041
00139000 000F0000 0E7
00136000 000E6000 233
0013C000 000F0000 0CA
00136000 000E7000 1F8
00140000 000F0000 054
00136000 000F0000 10C
00136000 000E6000 27D
00136000 000F0000 15F
00140000 000E6000 323
00137000 000E6000 2AA
00136000 000EE000 1B8
00140000 000EB000 3D5
00140000 000F0000 00F
00140000 000F0000 083
00136000 000F0000 16B
00140000 000E6000 33B
0013C000 000E6000 2DA
00136000 000E6000 218
00140000 000F0000 094
00136000 000F0000 18D
00140000 000E6000 37E
00140000 000E6000 360
00140000 000E6000 325
00137000 000E6000 2AF
00136000 000ED000 1C3
00141000 000ED000 3EB
00140000 000F0000 03B
0013A000 000F0000 0DB
00136000 000E6000 21A
00140000 000F0000 099
00136000 000F0000 197
00140000 000E6000 393
00140000 000E6000 38B
00140000 000E6000 37B
00140000 000E6000 35A
00140000 000E6000 319
00136000 000E6000 296
00136000 000F0000 190
00140000 000E6000 385
00140000 000E6000 36F
00140000 000E6000 343
0013D000 000E6000 2EA
00136000 000E6000 238
0013B000 000F0000 0D5
00136000 000E6000 20E
00140000 000F0000 080
00136000 000F0000 165
00140000 000E6000 32E
00139000 000E6000 2C0
00136000 000E9000 1E5
00140000 000F0000 02F
0013D000 000F1000 0C3
00136000 000E9000 1EB
00140000 000F0000 03A
0013A000 000F1000 0D9
00136000 000E6000 217
00140000 000F0000 093
00136000 000F0000 18A
00140000 000E6000 378
00140000 000E6000 355
00140000 000E6000 30F
00136000 000E6000 282
00136000 000F0000 169
00140000 000E6000 336
0013B000 000E6000 2D0
00136000 000E6000 204
00140000 000F0000 06C
00136000 000F0000 13C
0013C000 000E6000 2DC
00136000 000E6000 21D
00140000 000F0000 09E
00136000 000F0000 1A1
00141000 000E7000 3A6
00141000 000E8000 3B1
00141000 000EA000 3C6
00140000 000EE000 3F1
00140000 000F0000 047
00138000 000F0000 0F2
00136000 000E6000 249
00137000 000F1000 0F7
00136000 000E6000 253
00136000 000F0000 10B
00136000 000E6000 27A
00136000 000F0000 158
00140000 000E6000 314
00136000 000E6000 28D
00136000 000F0000 17E
00140000 000E6000 361
00140000 000E6000 326
00138000 000E6000 2B1
00136000 000EC000 1C7
00140000 000EE000 3F2
00140000 000F0000 048
00138000 000F1000 0F5
00136000 000E6000 24E
00137000 000F1000 100
00136000 000E6000 265
00136000 000F0000 12F
00139000 000E6000 2C2
00136000 000E9000 1E8
00140000 000F0000 034
0013C000 000F1000 0CC
00136000 000E7000 1FD
00140000 000F0000 05E
00136000 000F0000 120
00136000 000E6000 2A5
00136000 000EF000 1AE
00140000 000E9000 3C1
00140000 000ED000 3E7
00140000 000F0000 032
0013C000 000F0000 0C8
00136000 000E8000 1F4
00140000 000F0000 04C
00137000 000F0000 0FC
00136000 000E6000 25C
00136000 000F0000 11C
00136000 000E6000 29C
00136000 000F0000 19D
00140000 000E6000 39F
00140000 000E6000 3A3
00140000 000E7000 3AA
00141000 000E8000 3B8
00140000 000EB000 3D5
00140000 000F0000 00F
00140000 000F0000 082
00136000 000F0000 169
00140000 000E6000 337
0013B000 000E6000 2D2
00136000 000E6000 209
00140000 000F0000 077
00136000 000F0000 152
00140000 000E6000 308
00136000 000E6000 274
00136000 000F0000 14C
0013F000 000E6000 2FC
00136000 000E6000 25C
00136000 000F0000 11C
00136000 000E6000 29C
00136000 000F0000 19D
00140000 000E6000 39E
00140000 000E6000 3A0
00141000 000E6000 3A4
00140000 000E7000 3AC
00141000 000E9000 3BC
00140000 000EC000 3DC
00140000 000F0000 01C
00140000 000F0000 09C
00136000 000F0000 19C
00140000 000E6000 39D
00140000 000E6000 39E
00140000 000E6000 3A0
00141000 000E6000 3A5
00141000 000E7000 3AF
00141000 000E9000 3C2
00140000 000ED000 3E8
00140000 000F0000 035
0013C000 000F1000 0CE
00136000 000E7000 200
00140000 000F0000 065
00136000 000F0000 12F
00139000 000E6000 2C3
00136000 000E9000 1EA
00140000 000F0000 039
0013B000 000F1000 0D6
00136000 000E6000 210
00140000 000F0000 084
00136000 000F0000 16D
00140000 000E6000 33F
0013D000 000E6000 2E3
00136000 000E6000 22B
0013D000 000F1000 0BB
00136000 000EA000 1DA
00140000 000F0000 018
