# Slime Simulator State Dump
# Width: 160, Height: 120
# Agents: 1000
# LFSR State: 0x1E1AF7AB

# Agent states (x, y, angle) in fixed-point
00046000 0003C000 17A
00050000 00032000 358
00050000 00032000 315
00046000 00032000 28E
00046000 0003C000 181
00050000 00032000 366
00050000 00032000 331
0004A000 00032000 2C7
00046000 00034000 1F3
00050000 0003C000 04B
00047000 0003C000 0FB
00046000 00032000 25A
00046000 0003C000 118
00046000 00032000 294
00046000 0003C000 18D
00050000 00032000 37E
00050000 00032000 361
00050000 00032000 327
00048000 00032000 2B2
00046000 00038000 1C9
00051000 0003B000 3F6
00050000 0003C000 051
00046000 0003C000 106
00046000 00032000 271
00046000 0003C000 147
0004E000 00032000 2F2
00046000 00032000 249
00047000 0003D000 0F7
00046000 00032000 252
00046000 0003C000 108
00046000 00032000 275
00046000 0003C000 14E
00050000 00032000 301
00046000 00032000 266
00046000 0003C000 130
0004A000 00032000 2C4
00046000 00034000 1ED
00050000 0003C000 03F
0004A000 0003D000 0E2
00046000 00032000 228
0004E000 0003C000 0B4
00046000 00038000 1CD
00051000 0003B000 3FE
00050000 0003C000 061
00046000 0003C000 127
00048000 00032000 2B2
00046000 00038000 1C9
00051000 0003B000 3F7
00050000 0003C000 052
00046000 0003C000 109
00046000 00032000 276
00046000 0003C000 151
00050000 00032000 307
00046000 00032000 272
00046000 0003C000 148
0004E000 00032000 2F5
00046000 00032000 24E
00047000 0003D000 100
00046000 00032000 265
00046000 0003C000 12E
00049000 00032000 2C1
00046000 00035000 1E6
00050000 0003C000 030
0004D000 0003D000 0C4
00046000 00034000 1ED
00050000 0003C000 03F
0004A000 0003D000 0E2
00046000 00032000 229
0004E000 0003C000 0B7
00046000 00037000 1D3
00050000 0003C000 00B
00050000 0003C000 07A
00046000 0003C000 159
00050000 00032000 316
00046000 00032000 291
00046000 0003C000 186
00050000 00032000 370
00050000 00032000 345
0004E000 00032000 2EE
00046000 00032000 240
00049000 0003D000 0E4
00046000 00032000 22C
0004D000 0003C000 0BD
00046000 00036000 1DE
00050000 0003C000 021
00050000 0003D000 0A6
00046000 0003A000 1B1
00051000 00036000 3C6
00050000 0003A000 3F1
00050000 0003C000 046
00048000 0003C000 0F1
00046000 00032000 246
00048000 0003C000 0F1
00046000 00032000 246
00048000 0003C000 0F0
00046000 00032000 244
00049000 0003D000 0EC
00046000 00032000 23C
0004A000 0003C000 0DD
00046000 00032000 21E
00050000 0003C000 0A0
00046000 0003C000 1A5
00051000 00033000 3AE
00050000 00035000 3C0
00050000 00039000 3E5
00050000 0003C000 02E
0004D000 0003C000 0C1
00046000 00035000 1E7
00050000 0003C000 032
0004C000 0003C000 0C8
00046000 00034000 1F4
00050000 0003C000 04C
00047000 0003C000 0FD
00046000 00032000 25E
00046000 0003C000 121
00047000 00032000 2A7
00046000 0003A000 1B2
00050000 00036000 3C8
00051000 0003A000 3F4
00050000 0003C000 04D
00047000 0003D000 0FE
00046000 00032000 261
00046000 0003C000 126
00048000 00032000 2B0
00046000 00038000 1C5
00051000 0003A000 3EE
00050000 0003C000 041
00049000 0003C000 0E7
00046000 00032000 233
0004C000 0003C000 0CA
00046000 00033000 1F8
00050000 0003C000 054
00046000 0003C000 10C
00046000 00032000 27D
00046000 0003C000 15F
00050000 00032000 323
00047000 00032000 2AA
00046000 0003A000 1B8
00050000 00037000 3D5
00050000 0003C000 00F
00050000 0003C000 083
00046000 0003C000 16B
00050000 00032000 33B
0004C000 00032000 2DA
00046000 00032000 218
00050000 0003C000 094
00046000 0003C000 18D
00050000 00032000 37E
00050000 00032000 360
00050000 00032000 325
00047000 00032000 2AF
00046000 00039000 1C3
00051000 00039000 3EB
00050000 0003C000 03B
0004A000 0003C000 0DB
00046000 00032000 21A
00050000 0003C000 099
00046000 0003C000 197
00050000 00032000 393
00050000 00032000 38B
00050000 00032000 37B
00050000 00032000 35A
00050000 00032000 319
00046000 00032000 296
00046000 0003C000 190
00050000 00032000 385
00050000 00032000 36F
00050000 00032000 343
0004D000 00032000 2EA
00046000 00032000 238
0004B000 0003C000 0D5
00046000 00032000 20E
00050000 0003C000 080
00046000 0003C000 165
00050000 00032000 32E
00049000 00032000 2C0
00046000 00035000 1E5
00050000 0003C000 02F
0004D000 0003D000 0C3
00046000 00035000 1EB
00050000 0003C000 03A
0004A000 0003D000 0D9
00046000 00032000 217
00050000 0003C000 093
00046000 0003C000 18A
00050000 00032000 378
00050000 00032000 355
00050000 00032000 30F
00046000 00032000 282
00046000 0003C000 169
00050000 00032000 336
0004B000 00032000 2D0
00046000 00032000 204
00050000 0003C000 06C
00046000 0003C000 13C
0004C000 00032000 2DC
00046000 00032000 21D
00050000 0003C000 09E
00046000 0003C000 1A1
00051000 00033000 3A6
00051000 00034000 3B1
00051000 00036000 3C6
00050000 0003A000 3F1
00050000 0003C000 047
00048000 0003C000 0F2
00046000 00032000 249
00047000 0003D000 0F7
00046000 00032000 253
00046000 0003C000 10B
00046000 00032000 27A
00046000 0003C000 158
00050000 00032000 314
00046000 00032000 28D
00046000 0003C000 17E
00050000 00032000 361
00050000 00032000 326
00048000 00032000 2B1
00046000 00038000 1C7
00050000 0003A000 3F2
00050000 0003C000 048
00048000 0003D000 0F5
00046000 00032000 24E
00047000 0003D000 100
00046000 00032000 265
00046000 0003C000 12F
00049000 00032000 2C2
00046000 00035000 1E8
00050000 0003C000 034
0004C000 0003D000 0CC
00046000 00033000 1FD
00050000 0003C000 05E
00046000 0003C000 120
00046000 00032000 2A5
00046000 0003B000 1AE
00050000 00035000 3C1
00050000 00039000 3E7
00050000 0003C000 032
0004C000 0003C000 0C8
00046000 00034000 1F4
00050000 0003C000 04C
00047000 0003C000 0FC
00046000 00032000 25C
00046000 0003C000 11C
00046000 00032000 29C
00046000 0003C000 19D
00050000 00032000 39F
00050000 00032000 3A3
00050000 00033000 3AA
00051000 00034000 3B8
00050000 00037000 3D5
00050000 0003C000 00F
00050000 0003C000 082
00046000 0003C000 169
00050000 00032000 337
0004B000 00032000 2D2
00046000 00032000 209
00050000 0003C000 077
00046000 0003C000 152
00050000 00032000 308
00046000 00032000 274
00046000 0003C000 14C
0004F000 00032000 2FC
00046000 00032000 25C
00046000 0003C000 11C
00046000 00032000 29C
00046000 0003C000 19D
00050000 00032000 39E
00050000 00032000 3A0
00051000 00032000 3A4
00050000 00033000 3AC
00051000 00035000 3BC
00050000 00038000 3DC
00050000 0003C000 01C
00050000 0003C000 09C
00046000 0003C000 19C
00050000 00032000 39D
00050000 00032000 39E
00050000 00032000 3A0
00051000 00032000 3A5
00051000 00033000 3AF
00051000 00035000 3C2
00050000 00039000 3E8
00050000 0003C000 035
0004C000 0003D000 0CE
00046000 00033000 200
00050000 0003C000 065
00046000 0003C000 12F
00049000 00032000 2C3
00046000 00035000 1EA
00050000 0003C000 039
0004B000 0003D000 0D6
00046000 00032000 210
00050000 0003C000 084
00046000 0003C000 16D
00050000 00032000 33F
0004D000 00032000 2E3
00046000 00032000 22B
0004D000 0003D000 0BB
00046000 00036000 1DA
00050000 0003C000 018
00050000 0003C000 095
00046000 0003C000 18F
00050000 00032000 383
00050000 00032000 36B
00050000 00032000 33A
0004C000 00032000 2D9
00046000 00032000 217
00050000 0003C000 093
00046000 0003C000 18A
00050000 00032000 379
00050000 00032000 357
00050000 00032000 313
00046000 00032000 28A
00046000 0003C000 178
00050000 00032000 354
00050000 00032000 30C
00046000 00032000 27C
00046000 0003C000 15D
00050000 00032000 31E
00046000 00032000 2A1
00046000 0003B000 1A7
00050000 00034000 3B3
00050000 00036000 3CA
00051000 0003B000 3F8
00050000 0003C000 055
00046000 0003C000 10F
00046000 00032000 283
00046000 0003C000 16B
00050000 00032000 33A
0004C000 00032000 2D9
00046000 00032000 216
00050000 0003C000 090
00046000 0003C000 185
00050000 00032000 36F
00050000 00032000 343
0004D000 00032000 2EB
00046000 00032000 23B
0004A000 0003D000 0DA
00046000 00032000 219
00050000 0003C000 096
00046000 0003C000 190
00050000 00032000 384
00050000 00032000 36C
00050000 00032000 33C
0004C000 00032000 2DD
00046000 00032000 21E
00050000 0003C000 0A1
00046000 0003C000 1A6
00051000 00034000 3B1
00050000 00036000 3C7
00050000 0003A000 3F2
00050000 0003C000 048
00048000 0003D000 0F4
00046000 00032000 24D
00047000 0003D000 0FF
00046000 00032000 263
00046000 0003C000 12B
00049000 00032000 2BA
00046000 00037000 1D8
00050000 0003C000 014
00050000 0003C000 08C
00046000 0003C000 17D
00050000 00032000 35F
00050000 00032000 322
00047000 00032000 2A9
00046000 0003A000 1B6
00050000 00037000 3D1
00050000 0003C000 006
00050000 0003C000 071
00046000 0003C000 146
0004E000 00032000 2F1
00046000 00032000 247
00048000 0003C000 0F2
00046000 00032000 249
00047000 0003D000 0F7
00046000 00032000 253
00046000 0003C000 10A
00046000 00032000 278
00046000 0003C000 155
00050000 00032000 30F
00046000 00032000 283
00046000 0003C000 16B
00050000 00032000 33A
0004C000 00032000 2D8
00046000 00032000 214
00050000 0003C000 08D
00046000 0003C000 17E
00050000 00032000 360
00050000 00032000 325
00047000 00032000 2AE
00046000 00039000 1C1
00050000 00039000 3E6
00050000 0003C000 030
0004D000 0003D000 0C4
00046000 00034000 1ED
00050000 0003C000 03E
0004A000 0003D000 0E0
00046000 00032000 225
0004F000 0003D000 0AE
00046000 00039000 1C0
00050000 00039000 3E5
00050000 0003C000 02F
0004D000 0003D000 0C3
00046000 00035000 1EA
00050000 0003C000 039
0004B000 0003D000 0D6
00046000 00032000 210
00050000 0003C000 085
00046000 0003C000 16E
00050000 00032000 341
0004D000 00032000 2E7
00046000 00032000 232
0004C000 0003C000 0C9
00046000 00033000 1F7
00050000 0003C000 053
00046000 0003C000 10A
00046000 00032000 279
00046000 0003C000 156
00050000 00032000 311
00046000 00032000 286
00046000 0003C000 170
00050000 00032000 344
0004E000 00032000 2ED
00046000 00032000 23E
0004A000 0003D000 0E1
00046000 00032000 227
0004E000 0003D000 0B2
00046000 00038000 1C9
00051000 0003B000 3F6
00050000 0003C000 050
00046000 0003C000 104
00046000 00032000 26D
00046000 0003C000 13F
0004D000 00032000 2E2
00046000 00032000 229
0004E000 0003C000 0B7
00046000 00037000 1D3
00050000 0003C000 00B
00050000 0003C000 07B
00046000 0003C000 15A
00050000 00032000 319
00046000 00032000 297
00046000 0003C000 193
00050000 00032000 38B
00050000 00032000 37B
00050000 00032000 35A
00050000 00032000 318
00046000 00032000 294
00046000 0003C000 18C
00050000 00032000 37C
00050000 00032000 35D
00050000 00032000 31E
00046000 00032000 2A1
00046000 0003B000 1A7
00050000 00034000 3B3
00050000 00036000 3CB
00050000 0003B000 3FB
00050000 0003C000 05A
00046000 0003C000 119
00046000 00032000 296
00046000 0003C000 190
00050000 00032000 385
00050000 00032000 36E
00050000 00032000 341
0004D000 00032000 2E7
00046000 00032000 233
0004C000 0003C000 0CA
00046000 00033000 1F9
00050000 0003C000 057
00046000 0003C000 112
00046000 00032000 289
00046000 0003C000 176
00050000 00032000 351
00050000 00032000 307
00046000 00032000 272
00046000 0003C000 149
0004F000 00032000 2F7
00046000 00032000 253
00046000 0003C000 10A
00046000 00032000 279
00046000 0003C000 157
00050000 00032000 313
00046000 00032000 28A
00046000 0003C000 178
00050000 00032000 355
00050000 00032000 30F
00046000 00032000 282
00046000 0003C000 169
00050000 00032000 337
0004B000 00032000 2D2
00046000 00032000 208
00050000 0003C000 075
00046000 0003C000 14F
00050000 00032000 302
00046000 00032000 269
00046000 0003C000 136
0004B000 00032000 2D1
00046000 00032000 206
00050000 0003C000 070
00046000 0003C000 145
0004E000 00032000 2EE
00046000 00032000 241
00049000 0003C000 0E7
00046000 00032000 233
0004C000 0003C000 0CB
00046000 00033000 1FB
00050000 0003C000 05A
00046000 0003C000 119
00046000 00032000 297
00046000 0003C000 192
00050000 00032000 388
00050000 00032000 374
00050000 00032000 34D
0004F000 00032000 2FF
00046000 00032000 262
00046000 0003C000 128
00048000 00032000 2B5
00046000 00038000 1CE
00051000 0003C000 000
00050000 0003C000 065
00046000 0003C000 12E
00049000 00032000 2C0
00046000 00035000 1E5
00050000 0003C000 02E
0004D000 0003C000 0C0
00046000 00035000 1E5
00050000 0003C000 02E
0004D000 0003C000 0C0
00046000 00035000 1E5
00050000 0003C000 02F
0004D000 0003D000 0C3
00046000 00035000 1EA
00050000 0003C000 039
0004B000 0003D000 0D6
00046000 00032000 210
00050000 0003C000 084
00046000 0003C000 16D
00050000 00032000 33E
0004C000 00032000 2E1
00046000 00032000 226
0004F000 0003D000 0B0
00046000 00038000 1C5
00050000 0003A000 3EF
00050000 0003C000 043
00049000 0003D000 0EB
00046000 00032000 23A
0004B000 0003D000 0D8
00046000 00032000 214
00050000 0003C000 08D
00046000 0003C000 17E
00050000 00032000 361
00050000 00032000 326
00048000 00032000 2B1
00046000 00038000 1C7
00050000 0003A000 3F3
00050000 0003C000 04A
00047000 0003C000 0F9
